trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,2,-170.33086588726513,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9999920000106667}",25,0,-140.53166111514577,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999680001706663}",30,0,-170.74745194515754,"{0: 15, 1: 7, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-147.53753649925875,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9998720027306434}",20,9,-19.599688437244442,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,11,-68.51444205071499,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-104.75744624932837,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9996080256099974}",30,0,-116.83087464678302,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9994880436891754}",25,0,-122.95585000718668,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,0,-114.65516281469253,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-66.27956070975152,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9990321561605888}",25,0,-143.07266746505098,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-90.75241138099747,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9986483046232089}",25,0,-186.0047544982893,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9984324097278344}",25,15,-29.00767909063559,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-169.7708483709286,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.99795269895523}",20,0,-138.0408651533783,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9976888907533621}",25,0,-108.88410369399618,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9974091195505261}",20,0,-85.86998328616396,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9971133898230555}",20,8,-26.183353287764465,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-53.453990001692155,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9964740739761475}",30,0,-340.05180469683347,"{0: 11, 1: 6, 2: 6, 3: 1, 4: 6}",0
23,False,"{'a': 0.5, 'e': 0.9961304980857502}",25,0,-215.92668464018064,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.9957709841286342}",30,0,-84.57651555641124,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9953955378570153}",20,0,-199.77996504761194,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
26,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,0,-263.7290254047067,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 5}",0
27,False,"{'a': 0.5, 'e': 0.9945968726536185}",30,0,-179.9192384554532,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9941736665004669}",30,0,-154.5525808520556,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,0,-107.0695684959238,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9932795409475959}",25,0,-79.3609906825163,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,0,-156.2695976015235,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9923218458431429}",20,0,-134.95583296436084,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9918191787040556}",20,0,-68.33548738108321,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9913006424792677}",25,0,-71.633648736447,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.990766245465348}",35,25,-4.169073783174057,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.9902159962126371}",30,0,-101.93429987840047,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9896499035251115}",20,0,-52.46637521606246,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.989067976460242}",25,0,-100.80809185040309,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9884702243288492}",25,0,-170.45789673080503,"{0: 11, 1: 5, 2: 4, 3: 4, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9878566566949545}",30,0,-133.1438275183844,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,14,-18.891806753512803,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.9865821144408262}",20,0,-45.96710089701955,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9859211602132415}",25,0,-210.3926989916683,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.9852444312681263}",20,0,-105.79243547464583,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9845519384331295}",25,0,-87.28211138343788,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9838436927881214}",20,0,-82.0936359761324,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9831197056650174}",25,0,-194.02422568086715,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.9823799886475959}",20,0,-97.90942129958403,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9816245535713135}",25,0,-79.98828344677274,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9808534125231153}",30,0,-182.05923086811092,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9800665778412416}",30,0,-184.92631715610796,"{0: 16, 1: 1, 2: 11, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9792640621150305}",30,0,-136.73826881905765,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9784458781847165}",20,0,-35.84584012615488,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.9776120391412251}",35,0,-91.06534720544549,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9767625583259631}",25,0,-180.32890184710203,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9758974493306055}",25,7,-69.22460053879664,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.9750167259968777}",25,0,-65.97418818517002,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9741204024163344}",25,0,-95.62044502360004,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9732084929301336}",35,18,-28.554973192804468,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.9722810121288076}",25,0,-173.45825920362134,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9713379748520296}",30,0,-181.66631973209581,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9703793961883759}",25,0,-124.32458967435724,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9694052914750845}",30,1,-193.4203218942596,"{0: 18, 1: 5, 2: 1, 3: 1, 4: 4}",1
64,False,"{'a': 0.5, 'e': 0.9684156762978101}",25,0,-133.97472427962143,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9674105664903746}",25,0,-149.35736939833347,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9663899781345132}",20,0,-16.80523510370069,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.965353927559618}",25,11,-38.19806293890698,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.9643024313424761}",30,0,-165.01864705835595,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9632355063070045}",20,0,-57.245701837602525,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9621531695239809}",20,0,-195.4038538437703,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.9610554383107709}",25,0,-32.397687817814415,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9599423302310505}",25,8,-135.74486575446255,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.9588138630945251}",20,0,-98.74188782038628,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9576700549566448}",25,0,-86.54930983565536,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9565109241183156}",20,0,-140.34908847623834,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-171.0959364815448,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.9541467687694509}",20,0,-175.79472833135654,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9529417820853506}",25,7,-45.507083570721576,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.9517215483530664}",25,0,-179.52815698528354,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9504860870963119}",25,0,-161.27844099899846,"{0: 9, 1: 7, 2: 7, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-41.153917788445874,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9479695613221308}",25,4,-84.60895803645624,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.9466885370690631}",25,0,-97.98038471653854,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9453923658195982}",25,0,-174.41209305556052,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9440810683124485}",30,0,-72.17501714606139,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,0,-249.77522388718117,"{0: 8, 1: 4, 2: 2, 3: 1, 4: 5}",0
87,False,"{'a': 0.5, 'e': 0.9414131786897075}",30,0,-26.112271851310112,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9400566292602934}",25,0,-170.93694734192633,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.9386850389448655}",25,3,-104.39779012340158,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.9372984296888399}",30,0,-176.0607962651228,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9358968236779348}",30,8,-77.0505323803432,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.9344802433378168}",20,0,-83.16240433398904,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9330487113337409}",20,0,-42.66469352514629,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.9316022505701886}",25,0,-78.13196172619078,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9301408841905014}",20,0,-180.67104501410142,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
96,False,"{'a': 0.5, 'e': 0.9286646355765102}",20,0,-126.74676609455294,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9271735283481612}",20,0,-70.5624961311903,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.9256675863631385}",25,0,-242.7075988752609,"{0: 11, 1: 3, 2: 4, 3: 4, 4: 3}",0
99,False,"{'a': 0.5, 'e': 0.9241468337164814}",30,0,-224.3580990014819,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
100,False,"{'a': 0.5, 'e': 0.9226112947402}",20,0,-151.74634183082517,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-22.277996738517146,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.9194959563093155}",35,0,-97.3326797220521,"{0: 22, 1: 3, 2: 9, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.9179162067000607}",25,0,-147.7027727995663,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.916321770451081}",25,0,-108.3464381115162,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9147126730733223}",25,0,-76.65844069890669,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,0,-44.21163833850727,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.9114505981477284}",20,0,-103.39678080434918,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.9097976727930226}",30,0,-193.78882204214474,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
109,False,"{'a': 0.5, 'e': 0.9081301906949609}",20,0,-124.71984135556468,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9064481785332217}",25,0,-44.14710254917015,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.9047516632199634}",25,0,-91.06934742897063,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.903040671899395}",25,3,-30.815610932539492,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.9013152319473411}",25,0,-151.60659060412394,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.899575370970804}",25,0,-87.8688631163344,"{0: 15, 1: 5, 2: 2, 3: 3, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.8978211168075223}",20,1,-96.58883878804421,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.8960524975255252}",20,0,-74.57131486743279,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.8942695414226836}",20,0,-130.6299579515856,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.8924722770262568}",30,0,-133.84148584206898,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.890660733092437}",35,0,-60.64630643670271,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.8888349386058886}",20,0,-113.77769626531395,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,6,-52.46181805996119,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.8851407150528379}",20,0,-78.08324720896817,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.8832723450938338}",20,0,-141.15112463349925,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.8813898427961513}",25,0,-166.71309232139242,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.879493238279787}",20,0,-112.95708677746589,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-102.78903447034294,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.87565784419869}",25,0,-63.69408350369882,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.8737191160001807}",20,0,-161.11526637361968,"{0: 5, 1: 6, 2: 6, 3: 2, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.8717664083144548}",25,0,-69.80297660458295,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.8697997523847936}",20,0,-124.93143645815422,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.8678191796776499}",25,0,-147.982767497997,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.8658247218821448}",25,0,-106.4087465209945,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
