trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
187,False,"{'a': 0.5, 'e': 0.7357655065348812}",20,0,-44.42303111832297,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
188,False,"{'a': 0.5, 'e': 0.7330506821077661}",20,8,-73.76164098387946,"{0: 5, 1: 3, 2: 3, 3: 0, 4: 1}",1
189,False,"{'a': 0.5, 'e': 0.7303241288853758}",20,0,-159.2236683827515,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
190,False,"{'a': 0.5, 'e': 0.7275858904925034}",30,14,4.397089802121362,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.7248360107409052}",20,0,-25.76856014998375,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.7220745336285982}",25,0,-100.11512902685614,"{0: 13, 1: 1, 2: 11, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.7193015033391573}",30,14,-130.48744769339118,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 3}",1
194,False,"{'a': 0.5, 'e': 0.7165169642410081}",20,0,-75.06340789983176,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
195,False,"{'a': 0.5, 'e': 0.7137209608867168}",25,3,-74.73944353097843,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 2}",1
196,False,"{'a': 0.5, 'e': 0.7109135380122773}",35,10,-140.06074853985453,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",1
197,False,"{'a': 0.5, 'e': 0.7080947405363958}",20,0,-49.800217394849625,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
198,False,"{'a': 0.5, 'e': 0.7052646135597717}",20,0,-54.90528609599727,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
199,False,"{'a': 0.5, 'e': 0.7024232023643763}",20,0,-40.87028732372424,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
200,False,"{'a': 0.5, 'e': 0.699570552412728}",30,5,-85.35393412523662,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",1
201,False,"{'a': 0.5, 'e': 0.6967067093471654}",25,0,-22.23647125339114,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.6938317189891162}",25,0,-146.29755106207455,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
203,False,"{'a': 0.5, 'e': 0.690945627338365}",20,0,-98.09329660462697,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
204,False,"{'a': 0.5, 'e': 0.6880484805723165}",25,0,-117.93923101620122,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
205,False,"{'a': 0.5, 'e': 0.6851403250452572}",20,8,-4.2463412433888115,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.6822212072876135}",20,10,-9.275326515344787,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.6792911740052072}",35,0,-120.01435547401009,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
208,False,"{'a': 0.5, 'e': 0.6763502720785084}",20,0,7.946742125025452,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.6733985485618852}",35,0,-31.7242427360256,"{0: 25, 1: 7, 2: 3, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.6704360506828508}",25,13,-40.81089749291991,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.6674628258413081}",20,14,-32.540756247891224,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
212,False,"{'a': 0.5, 'e': 0.6644789216087912}",30,11,-49.464827022554935,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
213,False,"{'a': 0.5, 'e': 0.661484385727704}",20,0,-135.245803079713,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
214,False,"{'a': 0.5, 'e': 0.6584792661105568}",25,0,-171.31126092698136,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
215,False,"{'a': 0.5, 'e': 0.6554636108391995}",20,0,-83.22625110590975,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.6524374681640519}",25,10,-28.130882474548432,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.6494008865033323}",25,5,-111.66859623608678,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",1
218,False,"{'a': 0.5, 'e': 0.6463539144422825}",20,0,-6.592180710005546,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
219,False,"{'a': 0.5, 'e': 0.6432966007323906}",20,6,-78.77253264384404,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
220,False,"{'a': 0.5, 'e': 0.6402289942906106}",30,1,-65.65847439357026,"{0: 22, 1: 4, 2: 0, 3: 2, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.6371511441985802}",20,12,-33.58231022934037,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
222,False,"{'a': 0.5, 'e': 0.6340630997018352}",30,3,-26.16156544147524,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.6309649102090216}",30,0,-106.00189466360925,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
224,False,"{'a': 0.5, 'e': 0.6278566252911051}",20,0,-65.14314733432722,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
225,False,"{'a': 0.5, 'e': 0.6247382946805784}",30,17,-49.409503414467736,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
226,False,"{'a': 0.5, 'e': 0.6216099682706644}",30,0,-114.3957600151078,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
227,False,"{'a': 0.5, 'e': 0.6184716961145192}",20,16,5.820551713898487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.6153235284244302}",20,0,-37.26964310172055,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
229,False,"{'a': 0.5, 'e': 0.6121655155710133}",20,0,-24.200261481811623,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
230,False,"{'a': 0.5, 'e': 0.6089977080824067}",25,7,-37.33264147912661,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.6058201566434628}",25,7,-45.43755456848515,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.6026329120949367}",25,0,-32.67171332418769,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.5994360254326734}",25,0,-6.877453297974596,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
234,False,"{'a': 0.5, 'e': 0.596229547806791}",25,0,-67.01194866104915,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
235,False,"{'a': 0.5, 'e': 0.5930135305208633}",30,10,-74.30017527789076,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
236,False,"{'a': 0.5, 'e': 0.5897880250310982}",30,5,-14.578300092795171,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.5865530829455147}",25,13,-16.038075870937273,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.5833087560231173}",25,16,-10.29645915461947,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.5800550961730674}",20,9,-13.077296796241336,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.5767921554538531}",30,10,-31.531450225515506,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.5735199860724567}",20,9,8.52730717107754,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.570238640383518}",25,6,13.390873037145058,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.5669481708884984}",25,0,-190.05244829177715,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
244,False,"{'a': 0.5, 'e': 0.5636486302348394}",20,0,-88.20981772550147,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
245,False,"{'a': 0.5, 'e': 0.5603400712151211}",30,0,-90.31039450404624,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
246,False,"{'a': 0.5, 'e': 0.5570225467662173}",30,0,-26.06138251182729,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
247,False,"{'a': 0.5, 'e': 0.5536961099684484}",25,2,-80.73227226594359,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.5503608140447321}",20,0,-50.73286602191027,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
249,False,"{'a': 0.5, 'e': 0.5470167123597323}",20,0,-32.18734859376982,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
250,False,"{'a': 0.5, 'e': 0.5436638584190042}",25,3,-93.06510219923733,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
251,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,12,-35.298795305387,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
252,False,"{'a': 0.5, 'e': 0.5369321084919078}",20,0,-52.70366528767153,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
253,False,"{'a': 0.5, 'e': 0.5335533202133944}",25,14,-47.20423365232749,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
254,False,"{'a': 0.5, 'e': 0.5301659950931401}",25,6,3.9578171873881702,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.5267701873282746}",20,10,-51.21634806549854,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
256,False,"{'a': 0.5, 'e': 0.5233659512516495}",25,5,-64.10393182719216,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",1
257,False,"{'a': 0.5, 'e': 0.5199533413309696}",25,16,-14.866673962517776,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.5165324121679207}",25,5,-65.48602020826321,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
259,False,"{'a': 0.5, 'e': 0.5131032184972965}",20,0,-53.995809762028074,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
260,False,"{'a': 0.5, 'e': 0.5096658151861225}",30,0,4.5782681036947555,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
